iter	Passed	Remaining
810	12790	26637
811	12805	26619
812	12823	26609
813	12839	26593
814	12855	26579
815	12873	26567
816	12890	26554
817	12905	26536
818	12921	26521
819	12938	26508
820	12952	26489
821	12966	26468
822	12981	26452
823	12999	26440
824	13017	26429
825	13034	26415
826	13048	26396
827	13065	26383
828	13080	26366
829	13095	26349
830	13110	26330
831	13127	26319
832	13145	26306
833	13161	26292
834	13177	26276
835	13196	26266
836	13209	26245
837	13228	26235
838	13244	26220
839	13264	26212
840	13281	26200
841	13298	26186
842	13314	26171
843	13331	26156
844	13345	26137
845	13358	26117
846	13372	26097
847	13386	26077
848	13402	26063
849	13416	26044
850	13434	26032
851	13454	26025
852	13471	26010
853	13486	25993
854	13501	25976
855	13518	25962
856	13535	25948
857	13548	25929
858	13565	25915
859	13583	25903
860	13601	25892
861	13616	25874
862	13632	25858
863	13648	25844
864	13668	25835
865	13685	25823
866	13703	25809
867	13716	25788
868	13732	25774
869	13751	25764
870	13770	25753
871	13782	25730
872	13798	25716
873	13812	25696
874	13827	25678
875	13841	25659
876	13858	25646
877	13874	25631
878	13888	25612
879	13904	25597
880	13918	25578
881	13935	25563
882	13953	25551
883	13971	25540
884	13988	25527
885	14006	25516
886	14022	25499
887	14040	25487
888	14057	25473
889	14074	25459
890	14088	25441
891	14107	25432
892	14124	25418
893	14139	25400
894	14156	25386
895	14171	25368
896	14187	25353
897	14202	25336
898	14218	25322
899	14236	25310
900	14249	25289
901	14267	25276
902	14285	25264
903	14301	25248
904	14314	25228
905	14330	25212
906	14345	25195
907	14361	25180
908	14374	25159
909	14391	25146
910	14407	25129
911	14423	25115
912	14439	25098
913	14456	25084
914	14471	25068
915	14485	25048
916	14503	25037
917	14519	25021
918	14537	25009
919	14551	24990
920	14569	24977
921	14583	24959
922	14598	24942
923	14613	24925
924	14630	24911
925	14645	24893
926	14663	24882
927	14680	24868
928	14694	24848
929	14708	24830
930	14722	24810
931	14735	24791
932	14752	24777
933	14767	24760
934	14784	24746
935	14801	24732
936	14819	24720
937	14836	24706
938	14853	24692
939	14867	24673
940	14880	24653
941	14896	24636
942	14908	24615
943	14928	24607
944	14944	24590
945	14960	24576
946	14977	24562
947	14992	24543
948	15008	24529
949	15023	24511
950	15040	24498
951	15055	24481
952	15071	24466
953	15085	24447
954	15102	24433
955	15116	24413
956	15134	24401
957	15148	24383
958	15165	24369
959	15180	24351
960	15197	24337
961	15214	24324
962	15230	24308
963	15250	24298
964	15268	24286
965	15283	24270
966	15298	24253
967	15314	24237
968	15331	24223
969	15349	24210
970	15368	24200
971	15383	24182
972	15396	24162
973	15411	24145
974	15429	24132
975	15445	24118
976	15459	24099
977	15476	24084
978	15494	24071
979	15510	24056
980	15524	24038
981	15542	24025
982	15562	24016
983	15580	24003
984	15598	23991
985	15615	23977
986	15629	23959
987	15645	23943
988	15662	23929
989	15679	23914
990	15694	23897
991	15712	23886
992	15728	23869
993	15744	23854
994	15757	23834
995	15774	23820
996	15792	23807
997	15809	23793
998	15823	23774
999	15839	23759
1000	15854	23741
1001	15871	23727
1002	15888	23714
1003	15903	23697
1004	15919	23680
1005	15935	23666
1006	15953	23653
1007	15965	23631
1008	15982	23617
1009	15996	23599
1010	16009	23579
1011	16025	23563
1012	16041	23547
1013	16056	23530
1014	16070	23511
1015	16085	23494
1016	16101	23479
1017	16114	23459
1018	16131	23445
1019	16144	23425
1020	16159	23408
1021	16177	23395
1022	16195	23382
1023	16210	23365
1024	16228	23353
1025	16242	23335
1026	16257	23317
1027	16270	23298
1028	16287	23283
1029	16304	23269
1030	16316	23248
1031	16331	23230
1032	16345	23213
1033	16362	23198
1034	16380	23185
1035	16394	23167
1036	16411	23152
1037	16425	23135
1038	16439	23116
1039	16455	23100
1040	16468	23081
1041	16482	23062
1042	16495	23042
1043	16511	23027
1044	16526	23011
1045	16542	22994
1046	16554	22973
1047	16572	22961
1048	16590	22949
1049	16608	22935
1050	16623	22918
1051	16641	22905
1052	16656	22888
1053	16668	22867
1054	16686	22854
1055	16704	22841
1056	16718	22823
1057	16733	22806
1058	16746	22787
1059	16763	22773
1060	16780	22759
1061	16798	22746
1062	16815	22731
1063	16830	22714
1064	16845	22698
1065	16862	22683
1066	16876	22665
1067	16894	22652
1068	16911	22638
1069	16926	22621
1070	16940	22602
1071	16954	22585
1072	16969	22568
1073	16982	22548
1074	17000	22535
1075	17015	22518
1076	17029	22500
1077	17046	22485
1078	17062	22471
1079	17077	22454
1080	17091	22435
1081	17103	22414
1082	17120	22400
1083	17132	22379
1084	17149	22365
1085	17166	22351
1086	17181	22334
1087	17197	22319
1088	17215	22306
1089	17231	22290
1090	17248	22276
1091	17265	22261
1092	17282	22247
1093	17296	22228
1094	17312	22213
1095	17329	22199
1096	17341	22179
1097	17356	22161
1098	17369	22143
1099	17386	22128
1100	17399	22108
1101	17416	22094
1102	17430	22076
1103	17444	22057
1104	17459	22042
1105	17475	22026
1106	17493	22012
1107	17506	21994
1108	17522	21977
1109	17536	21960
1110	17554	21947
1111	17567	21928
1112	17586	21915
1113	17599	21896
1114	17615	21881
1115	17628	21861
1116	17646	21848
1117	17663	21834
1118	17680	21820
1119	17694	21802
1120	17713	21790
1121	17726	21771
1122	17744	21757
1123	17762	21744
1124	17776	21726
1125	17790	21708
1126	17803	21689
1127	17818	21673
1128	17835	21658
1129	17848	21639
1130	17864	21623
1131	17881	21609
1132	17898	21595
1133	17911	21575
1134	17923	21556
1135	17937	21537
1136	17955	21524
1137	17967	21504
1138	17983	21489
1139	18001	21475
1140	18013	21455
1141	18026	21435
